kode_wilayah,nama_wilayah,tk_sederajat,kb_sederajat,tpa,sps,sd_sederajat,smp_sederajat,sma_sederajat,smk_sederajat,slb,total,nama_kabupaten,kode_provinsi,kode_kabupaten,total_siswa,jumlah_sppg,rasio_siswa_per_sppg,kategori_layanan,kebutuhan_sppg,gap_sppg
140700,KAB. SERUYAN,4682,963,124,131,20881,8329,3167,1638,44,39959,SERUYAN,14,1407,39959,5.0,7991.8,Layanan Cukup,13.319666666666667,8.319666666666667
170500,KAB. MINAHASA SELATAN,3187,1238,0,188,18379,8477,4847,3155,74,39545,MINAHASA SELATAN,17,1705,39545,12.0,3295.4166666666665,Layanan Cukup,13.181666666666667,1.1816666666666666
241500,KAB. ROTE NDAO,1680,2865,35,0,17932,8586,7265,1023,131,39517,ROTE NDAO,24,2415,39517,7.0,5645.285714285715,Layanan Cukup,13.172333333333333,6.172333333333333
180500,KAB. BUOL,4997,268,0,0,19038,7829,4973,2040,86,39231,BUOL,18,1805,39231,9.0,4359.0,Layanan Cukup,13.077,4.077
241000,KAB. NGADA,2553,952,0,0,17090,9066,7305,2053,97,39116,NGADA,24,2410,39116,9.0,4346.222222222223,Layanan Cukup,13.038666666666666,4.038666666666666
290200,KAB. BELITUNG,2982,1049,89,0,18461,8633,3912,3808,159,39093,BELITUNG,29,2902,39093,13.0,3007.153846153846,Layanan Cukup,13.031,0.031000000000000583
206100,KOTA BAU BAU,3321,714,13,0,16960,7796,5896,3415,268,38383,KOTA BAU BAU,20,2061,38383,21.0,1827.7619047619048,Layanan Cukup,12.794333333333332,-8.205666666666668
300400,KAB. BONE BOLANGO,4613,3489,0,466,16069,7247,4415,1775,129,38203,BONE BOLANGO,30,3004,38203,14.0,2728.785714285714,Layanan Cukup,12.734333333333334,-1.2656666666666663
61300,KAB. ACEH SINGKIL,4799,438,202,0,18046,8255,5426,942,69,38177,ACEH SINGKIL,61,6130,38177,17.0,2245.705882352941,Layanan Cukup,12.725666666666667,-4.274333333333333
241700,KAB. NAGEKEO,3513,502,0,17,17139,8720,6343,1677,62,37973,NAGEKEO,24,2417,37973,9.0,4219.222222222223,Layanan Cukup,12.657666666666668,3.6576666666666675
