kode_wilayah,kode_provinsi,kode_kabupaten,nama_kabupaten,sd_sederajat,smp_sederajat,sma_sederajat,smk_sederajat,total_siswa,jumlah_sppg,flag_tanpa_sppg,rasio_siswa_per_sppg,kebutuhan_sppg,gap_sppg,kategori_layanan
16100,16,1610,KOTA ADM. JAKARTA UTARA,118531,58097,26425,26940,253573,103.0,0,2461.873786407767,84.52433333333333,-18.47566666666667,"Layanan Sesuai (High Demand, High Supply)"
120100,12,1201,LAMPUNG SELATAN,119598,55710,25407,20992,253369,148.0,0,1711.9527027027027,84.45633333333333,-63.54366666666667,"Layanan Sesuai (High Demand, High Supply)"
50300,50,5030,MOJOKERTO,95856,53702,26322,25901,252371,109.0,0,2315.330275229358,84.12366666666667,-24.876333333333335,"Layanan Sesuai (High Demand, High Supply)"
31000,31,3100,KLATEN,102829,54023,21262,28987,252357,146.0,0,1728.472602739726,84.119,-61.881,"Layanan Sesuai (High Demand, High Supply)"
52000,52,5200,PROBOLINGGO,108164,50764,30590,12145,251517,106.0,0,2372.801886792453,83.839,-22.161,"Layanan Sesuai (High Demand, High Supply)"
52700,52,5270,SAMPANG,118499,48775,24134,10241,247001,147.0,0,1680.2789115646258,82.33366666666667,-64.66633333333333,"Layanan Sesuai (High Demand, High Supply)"
70200,70,7020,LANGKAT,113865,57009,30202,19864,246937,76.0,0,3249.1710526315787,82.31233333333333,6.312333333333328,"Layanan Sesuai (High Demand, High Supply)"
52900,52,5290,BANGKALAN,115755,51989,26530,15118,245155,127.0,0,1930.3543307086613,81.71833333333333,-45.281666666666666,"Layanan Sesuai (High Demand, High Supply)"
22000,22,2200,PURWAKARTA,116112,54739,25593,19432,244064,149.0,0,1638.013422818792,81.35466666666666,-67.64533333333334,"Layanan Sesuai (High Demand, High Supply)"
126000,12,1260,KOTA BANDAR LAMPUNG,109046,51810,33722,22842,243289,139.0,0,1750.2805755395684,81.09633333333333,-57.903666666666666,"Layanan Sesuai (High Demand, High Supply)"
120700,12,1207,LAMPUNG TIMUR,106077,56052,24140,19002,240014,150.0,0,1600.0933333333332,80.00466666666667,-69.99533333333333,"Layanan Sesuai (High Demand, High Supply)"
50600,50,5060,TUBAN,98223,48346,22010,18818,238027,136.0,0,1750.1985294117646,79.34233333333333,-56.65766666666667,"Layanan Sesuai (High Demand, High Supply)"
40200,40,4020,SLEMAN,93078,50881,24005,22240,236072,133.0,0,1774.9774436090227,78.69066666666667,-54.30933333333333,"Layanan Sesuai (High Demand, High Supply)"
52600,52,5260,PAMEKASAN,89681,45669,33387,14584,230769,128.0,0,1802.8828125,76.923,-51.077,"Layanan Sesuai (High Demand, High Supply)"
51400,51,5140,NGANJUK,89403,51222,24524,24356,228236,122.0,0,1870.7868852459017,76.07866666666666,-45.92133333333334,"Layanan Sesuai (High Demand, High Supply)"
52800,52,5280,SUMENEP,99570,44975,32455,6813,226905,100.0,0,2269.05,75.635,-24.364999999999995,"Layanan Sesuai (High Demand, High Supply)"
32400,32,3240,KENDAL,94803,48186,19867,25908,226743,118.0,0,1921.550847457627,75.581,-42.419,"Layanan Sesuai (High Demand, High Supply)"
90100,90,9010,KAMPAR,109856,50465,32422,9144,226655,111.0,0,2041.936936936937,75.55166666666666,-35.44833333333334,"Layanan Sesuai (High Demand, High Supply)"
51500,51,5150,BLITAR,98836,51526,17767,18071,224247,120.0,0,1868.725,74.749,-45.251000000000005,"Layanan Sesuai (High Demand, High Supply)"
30900,30,3090,BOYOLALI,93051,47763,21190,23068,221067,119.0,0,1857.7058823529412,73.689,-45.31100000000001,"Layanan Sesuai (High Demand, High Supply)"
32600,32,3260,PEKALONGAN,97410,43886,13114,22594,220238,90.0,0,2447.088888888889,73.41266666666667,-16.587333333333333,"Layanan Sesuai (High Demand, High Supply)"
32200,32,3220,SEMARANG,94816,44789,18570,22383,219299,126.0,0,1740.468253968254,73.09966666666666,-52.900333333333336,"Layanan Sesuai (High Demand, High Supply)"
51600,51,5160,TULUNGAGUNG,85499,48551,19916,25294,219169,132.0,0,1660.371212121212,73.05633333333333,-58.94366666666667,"Layanan Sesuai (High Demand, High Supply)"
56100,56,5610,KOTA MALANG,84610,41226,25610,33667,218891,80.0,0,2736.1375,72.96366666666667,-7.0363333333333316,"Layanan Sesuai (High Demand, High Supply)"
52100,52,5210,LUMAJANG,92559,46089,23088,13375,217373,86.0,0,2527.593023255814,72.45766666666667,-13.542333333333332,"Layanan Sesuai (High Demand, High Supply)"
31900,31,3190,KUDUS,81396,46828,26673,19669,208276,112.0,0,1859.607142857143,69.42533333333333,-42.57466666666667,"Layanan Sesuai (High Demand, High Supply)"
86100,86,8610,KOTA PADANG,93863,45997,30867,17850,207839,70.0,0,2969.1285714285714,69.27966666666667,-0.720333333333329,"Layanan Sesuai (High Demand, High Supply)"
30400,30,3040,BANJARNEGARA,94308,44028,14269,21167,206100,106.0,0,1944.3396226415093,68.7,-37.3,"Layanan Sesuai (High Demand, High Supply)"
30300,30,3030,PURBALINGGA,92787,45058,15343,24902,205532,108.0,0,1903.0740740740741,68.51066666666667,-39.489333333333335,"Layanan Sesuai (High Demand, High Supply)"
110700,11,1107,BANYUASIN,106488,43090,25053,7208,203700,75.0,0,2716.0,67.9,-7.099999999999994,"Layanan Sesuai (High Demand, High Supply)"
31400,31,3140,SRAGEN,82626,43115,16173,28758,202504,118.0,0,1716.135593220339,67.50133333333333,-50.498666666666665,"Layanan Sesuai (High Demand, High Supply)"
40100,40,4010,BANTUL,74862,39983,22797,19708,198504,120.0,0,1654.2,66.168,-53.831999999999994,"Layanan Sesuai (High Demand, High Supply)"
70400,70,7040,SIMALUNGUN,94161,46790,23622,13363,195716,64.0,0,3058.0625,65.23866666666666,1.23866666666666,"Layanan Sesuai (High Demand, High Supply)"
166000,16,1660,KOTA SAMARINDA,90978,42510,21639,23024,194780,58.0,0,3358.2758620689656,64.92666666666666,6.926666666666662,"Layanan Sesuai (High Demand, High Supply)"
